MUNICÍPIO,ESCOLA,LOCALIZAÇÃO,CÓDIGO DO INEP,TIPO,
Campo Grande,ESCOLA ATIVA,URBANA,50032887,PARTICULAR,
Campo Grande,ESCOLA ATUAL EIEF,URBANA,50007750,PARTICULAR,
Campo Grande,ESCOLA BETANIA,URBANA,50030981,PARTICULAR,
Campo Grande,ESCOLA CAMINHO DO SABER,URBANA,50024604,PARTICULAR,
Campo Grande,ESCOLA CARROSSEL EDUCAMP,URBANA,50027891,PARTICULAR,
Campo Grande,ESCOLA CARROSSEL NOVO ESTILO,URBANA,50005316,PARTICULAR,
Campo Grande,ESCOLA CONQUISTA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL EIRELE-ME,URBANA,50034073,PARTICULAR,
Campo Grande,ESCOLA CRESCENDO EIEF,URBANA,50007629,PARTICULAR,
Campo Grande,ESCOLA CRIATIBRINCANDO DE EIEF LTDA,URBANA,50026720,PARTICULAR,
Campo Grande,ESCOLA CRIATIVIDADE,URBANA,50072803,PARTICULAR,
Campo Grande,ESCOLA CURUMIM,URBANA,50028480,PARTICULAR,
Campo Grande,ESCOLA DE DESENVOLVIMENTO ESPECIAL JULIANO FERNANDES VARELA,URBANA,50022920,PARTICULAR,
Campo Grande,ESCOLA DE EDUCACAO FUNDAMENTAL ALFA LTDA -ME,URBANA,50034219,PARTICULAR,
Campo Grande,ESCOLA DE EDUCACAO FUNDAMENTAL BETA LTDA -ME,URBANA,50034227,PARTICULAR,
Campo Grande,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL ALICERCE,URBANA,50005022,PARTICULAR,
Campo Grande,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL MIL CONTOS,URBANA,50032143,PARTICULAR,
Campo Grande,ESCOLA DE EDUCACAO INFANTIL FAZ DE CONTA,URBANA,50007661,PARTICULAR,
Campo Grande,ESCOLA DE EIEF GAL OSORIO - UNID II,URBANA,50078810,PARTICULAR,
Campo Grande,ESCOLA DE ENSINO MEDIO GAMA LTDA - ME,URBANA,50034197,PARTICULAR,
Campo Grande,ESCOLA DESPERTAR,URBANA,50030787,PARTICULAR,
Campo Grande,ESCOLA DESPERTAR DE ENSINO FUNDAMENTAL,URBANA,50027182,PARTICULAR,
Campo Grande,ESCOLA DO SESC CAMILLO BONI,URBANA,50009168,PARTICULAR,
Campo Grande,ESCOLA DO SESI CAMPO GRANDE,URBANA,50026429,PARTICULAR,
Campo Grande,ESCOLA DOMUS AUREA,URBANA,50007998,PARTICULAR,
Campo Grande,ESCOLA ESPECIAL COLIBRI,URBANA,50008080,PARTICULAR,
Campo Grande,ESCOLA ESPECIAL RAIO DE SOL,URBANA,50008064,PARTICULAR,
Campo Grande,ESCOLA ESPIRITA ANALIA FRANCO,URBANA,50038400,PARTICULAR,
Campo Grande,ESCOLA ESTACAO CRIANCA,URBANA,50042807,PARTICULAR,
Campo Grande,ESCOLA GAPPE,URBANA,50009052,PARTICULAR,
Campo Grande,ESCOLA IDEAL,URBANA,50007483,PARTICULAR,
Campo Grande,ESCOLA INOVACAO,URBANA,50009133,PARTICULAR,
Campo Grande,ESCOLA INTEGRADA HORIZONTE,URBANA,50028855,PARTICULAR,
Campo Grande,ESCOLA MARIE STEINER,URBANA,50034413,PARTICULAR,
Campo Grande,ESCOLA MON PETIT,URBANA,50033107,PARTICULAR,
Campo Grande,ESCOLA MON PETIT KIDS - AJEL EDUCACIONAL - EPP,URBANA,50033573,PARTICULAR,
Campo Grande,ESCOLA MUNDO MAGICO E INSTITUTO MACHADO DE ASSIS,URBANA,50027166,PARTICULAR,
Campo Grande,ESCOLA NAZARE EIEF,URBANA,50007700,PARTICULAR,
Campo Grande,ESCOLA PADRAO LTDA,URBANA,50070800,PARTICULAR,
Campo Grande,ESCOLA PLANETA CRIANCA,URBANA,50033425,PARTICULAR,
Campo Grande,ESCOLA PRIMEIRA INFANCIA,URBANA,50033441,PARTICULAR,
Campo Grande,ESCOLA RAIO DE SOL,URBANA,50007424,PARTICULAR,
Campo Grande,ESCOLA SENAI DA CONSTRUCAO,URBANA,50034022,PARTICULAR,
Campo Grande,ESCOLA SONHO MEU,URBANA,50024540,PARTICULAR,
Campo Grande,ESCOLA TECNICA EDUCA,URBANA,50033247,PARTICULAR,
Campo Grande,ESCOLA TURMA DA MONICA,URBANA,50007823,PARTICULAR,
Campo Grande,ESCOLA URSINHO PANDA,URBANA,50007432,PARTICULAR,
Campo Grande,ESCOLA VISCONDE DE CAIRU,URBANA,50007831,PARTICULAR,
Campo Grande,ESPACO EDUCACIONAL INTERAGIR,URBANA,50031147,PARTICULAR,
Campo Grande,ESPACO LIVRE EIEF,URBANA,50023888,PARTICULAR,
Campo Grande,FACULDADE DE TECNOLOGIA SENAI CAMPO GRANDE,URBANA,50028782,PARTICULAR,
Campo Grande,FACULDADE ESTACIO DE SA DE CAMPO GRANDE,URBANA,50033018,PARTICULAR,
Campo Grande,GEMS - CENTRO EDUCACIONAL MS LTDA - EDC - ESCOLA DE CURSOS,URBANA,50034561,PARTICULAR,
Campo Grande,IEMS - INSTITUTO DE EDUCACAO PROFESSORA MARISA SERRANO,URBANA,50026232,PARTICULAR,
Campo Grande,INST SMG CEGOS FLORIVALDO VARGAS - ISMAC,URBANA,50009079,PARTICULAR,
Campo Grande,INSTITUICAO DE ENSINO GENERAL OSORIO,URBANA,50031783,PARTICULAR,
